Captured On,Real-Time Temperature
1/20/2018,-15.69
1/20/2018,-11.88
1/20/2018,-15.31
1/20/2018,-11.63
1/20/2018,-15.13
1/20/2018,-11.63
1/20/2018,-14.75
1/20/2018,-12.06
1/20/2018,-14.44
1/20/2018,-12.81
1/20/2018,-14.06
1/20/2018,-13.5
1/20/2018,-13.75
1/20/2018,-14.13
1/20/2018,-13.44
1/20/2018,-14.63
1/20/2018,-13.13
1/20/2018,-15.06
1/20/2018,-12.88
1/20/2018,-14.38
1/20/2018,-12.88
1/20/2018,-14.19
1/20/2018,-13.31
1/20/2018,-13.94
1/20/2018,-13.75
1/20/2018,-13.69
1/20/2018,-14.06
1/20/2018,-13.5
1/20/2018,-14.38
1/20/2018,-13.31
1/20/2018,-14.63
1/20/2018,-13.19
1/20/2018,-14.88
1/20/2018,-13.13
1/20/2018,-15.06
1/20/2018,-13
1/20/2018,-15.13
1/20/2018,-12.94
1/20/2018,-11.56
1/20/2018,-1.56
1/20/2018,-6
1/20/2018,-11.31
1/20/2018,-14.25
1/20/2018,-14.94
1/20/2018,-12.31
1/20/2018,-14.69
1/20/2018,-14.5
1/20/2018,-12.44
1/20/2018,-15.25
1/20/2018,-11.56
1/20/2018,-14.94
1/20/2018,-11.88
1/20/2018,-14.63
1/20/2018,-12.44
1/20/2018,-14.31
1/20/2018,-13.31
1/20/2018,-13.88
1/20/2018,-14
1/20/2018,-13.56
1/20/2018,-13
1/20/2018,-14.25
1/20/2018,-13.69
1/20/2018,-13.25
1/20/2018,-15.56
1/20/2018,-12.56
1/20/2018,-15.69
1/20/2018,-11.81
1/20/2018,-13.56
1/20/2018,-15.69
1/20/2018,-12.38
1/20/2018,-15.19
1/20/2018,-10.94
1/20/2018,-14.44
1/20/2018,-13.63
1/20/2018,-13.25
1/20/2018,-15.56
1/20/2018,-11.5
1/20/2018,-13.81
1/20/2018,-15.63
1/20/2018,-12.56
1/20/2018,-15.88
1/20/2018,-12
1/20/2018,-15.56
1/20/2018,-11.69
1/20/2018,-15.31
1/20/2018,-11.56
1/20/2018,-15
1/20/2018,-12.81
1/20/2018,-4.69
1/20/2018,-2.31
1/20/2018,-9
1/20/2018,-12.63
1/20/2018,-14.69
1/20/2018,-15.13
1/20/2018,-13.06
1/20/2018,-15.75
1/20/2018,-11.88
1/20/2018,-15.31
1/20/2018,-11.31
1/20/2018,-13.94
1/20/2018,-15.56
1/20/2018,-12.75
1/20/2018,-14.63
1/20/2018,-13.56
1/20/2018,-13.88
1/20/2018,-15.88
1/20/2018,-9.25
1/20/2018,-12
1/20/2018,-13.88
1/20/2018,-15.69
1/20/2018,-11.69
1/20/2018,-15.25
1/20/2018,-11.5
1/20/2018,-15.13
1/20/2018,-10.88
1/20/2018,-13.19
1/20/2018,-12.81
1/20/2018,-15
1/20/2018,-11.63
1/20/2018,-15
1/20/2018,-11.44
1/20/2018,-15.63
1/20/2018,-12.44
1/20/2018,-15.63
1/20/2018,-12.44
1/20/2018,-15.56
1/20/2018,-11.44
1/20/2018,-15.75
1/20/2018,-11.94
1/20/2018,-15.88
1/20/2018,-12.13
1/20/2018,-14.13
1/20/2018,-14.63
1/20/2018,-13.38
1/20/2018,-14.25
1/20/2018,-13.56
1/20/2018,-12
1/20/2018,-3.88
1/20/2018,0.31
1/20/2018,-4.88
1/20/2018,-9.81
1/20/2018,-12.56
1/20/2018,-14.38
1/20/2018,-15.56
1/20/2018,-11.44
1/20/2018,-14.56
1/20/2018,-12.81
1/20/2018,-13.44
1/20/2018,-15.13
1/20/2018,-12.25
1/20/2018,-15.56
1/20/2018,-12
1/20/2018,-14.25
1/20/2018,-13.69
1/20/2018,-13.25
1/20/2018,-15.25
1/20/2018,-10.19
1/20/2018,-13
1/20/2018,-14.31
1/20/2018,-11.88
1/20/2018,-9.69
1/20/2018,-7.69
1/20/2018,-12.25
1/20/2018,-7.19
1/20/2018,-12.25
1/20/2018,-10.94
1/20/2018,-12.88
1/20/2018,-15.06
1/20/2018,-13
1/20/2018,-13.75
1/20/2018,-13
1/20/2018,-13.75
1/20/2018,-13.88
1/20/2018,-15.94
1/20/2018,-11.75
1/20/2018,-15.56
1/20/2018,-11.38
1/20/2018,-15.13
